ts,load1,cpu_pct,mem_used_mb,mem_total_mb,gpu0_pct,gpu0_mem_mb,gpu1_pct,gpu1_mem_mb,gpu_temp
1787360421,1.30,4.3,12055,28012,9,7397,0,0,75
1787360423,1.28,3.6,12446,28012,13,7397,0,0,75
1787360425,1.28,3.6,11846,28012,22,7397,0,0,75
1787360427,1.26,3.8,11809,28012,13,7397,0,0,74
1787360429,1.26,3.6,11813,28012,24,7397,0,0,74
1787360431,1.26,3.6,11801,28012,24,7397,0,0,75
1787360434,1.32,3.4,11809,28012,25,7397,0,0,74
1787360436,1.32,3.7,11824,28012,25,7397,0,0,74
1787360438,1.29,4.0,11830,28012,22,7397,0,0,74
1787360440,1.29,3.6,11812,28012,25,7397,0,0,74
1787360442,1.27,3.6,11803,28012,26,7397,0,0,74
1787360444,1.27,3.6,11795,28012,26,7397,0,0,74
1787360446,1.27,3.8,11784,28012,27,7397,0,0,74
1787360448,1.33,4.6,11780,28012,15,7397,0,0,77
1787360451,1.33,3.7,13039,28012,11,7397,0,0,75
1787360453,1.30,3.6,11849,28012,20,7397,0,0,75
1787360455,1.30,3.8,11833,28012,24,7397,0,0,75
1787360457,1.36,3.9,11825,28012,24,7397,0,0,75
1787360459,1.36,3.5,11827,28012,13,7397,0,0,75
1787360461,1.36,3.5,11817,28012,19,7397,0,0,74
1787360463,1.41,3.7,11813,28012,23,7397,0,0,74
1787360466,1.41,3.8,11802,28012,21,7397,0,0,74
1787360468,1.38,3.5,11804,28012,27,7397,0,0,74
1787360470,1.38,3.6,11798,28012,24,7397,0,0,74
1787360472,1.35,3.6,11778,28012,13,7397,0,0,73
1787360474,1.35,3.8,11782,28012,24,7397,0,0,73
1787360476,1.35,3.6,11780,28012,28,7397,0,0,73
1787360478,1.40,3.8,11773,28012,29,7397,0,0,73
1787360481,1.40,4.0,11777,28012,97,7397,0,0,77
1787360483,1.37,4.9,12302,28012,10,7397,0,0,75
1787360485,1.37,3.5,11797,28012,17,7397,0,0,74
1787360487,1.42,3.6,11791,28012,23,7397,0,0,74
1787360489,1.42,3.5,11791,28012,22,7397,0,0,74
1787360491,1.42,3.8,11790,28012,23,7397,0,0,74
1787360493,1.38,3.6,11790,28012,24,7397,0,0,74
1787360495,1.38,3.6,11782,28012,24,7397,0,0,74
1787360498,1.43,3.8,11795,28012,25,7397,0,0,74
1787360500,1.43,3.6,11798,28012,25,7397,0,0,74
1787360502,1.48,3.9,11795,28012,14,7397,0,0,74
1787360504,1.48,3.5,11796,28012,25,7397,0,0,74
1787360506,1.48,3.7,11789,28012,96,7397,0,0,76
1787360508,1.44,4.2,12152,28012,9,7397,0,0,75
1787360510,1.44,4.1,11827,28012,21,7397,0,0,75
1787360513,1.40,3.6,11820,28012,21,7397,0,0,74
1787360515,1.40,3.5,11823,28012,18,7397,0,0,74
1787360517,1.37,3.6,11824,28012,22,7397,0,0,74
1787360519,1.37,4.0,11821,28012,21,7397,0,0,74
1787360521,1.37,3.6,11816,28012,24,7397,0,0,74
1787360523,1.34,3.5,11804,28012,77,7397,0,0,76
1787360525,1.34,4.0,12251,28012,6,7397,0,0,75
1787360527,1.31,3.6,11865,28012,8,7397,0,0,75
1787360530,1.31,3.7,11849,28012,24,7397,0,0,75
1787360532,1.29,3.6,11839,28012,20,7397,0,0,74
1787360534,1.29,3.5,11832,28012,24,7397,0,0,74
1787360536,1.29,3.6,11825,28012,21,7397,0,0,75
1787360538,1.27,4.2,11824,28012,25,7397,0,0,74
1787360540,1.27,3.8,11821,28012,25,7397,0,0,74
1787360542,1.32,3.6,11796,28012,22,7397,0,0,74
1787360545,1.32,3.6,11792,28012,25,7397,0,0,74
1787360547,1.30,3.7,11782,28012,26,7397,0,0,74
1787360549,1.30,3.8,11775,28012,24,7397,0,0,74
1787360551,1.30,4.1,11943,28012,9,7399,0,0,76
1787360553,1.27,3.6,12283,28012,0,7399,0,0,75
1787360555,1.27,3.6,11835,28012,23,7399,0,0,74
1787360557,1.25,4.2,11827,28012,22,7399,0,0,74
1787360560,1.25,3.5,11812,28012,24,7399,0,0,74
1787360562,1.23,3.6,11806,28012,25,7399,0,0,74
1787360564,1.23,3.6,11810,28012,25,7399,0,0,74
1787360566,1.23,3.6,11806,28012,26,7399,0,0,73
1787360568,1.21,3.9,11809,28012,23,7399,0,0,73
1787360570,1.21,3.6,11800,28012,27,7399,0,0,73
1787360572,1.20,3.9,11797,28012,24,7399,0,0,73
1787360574,1.20,3.6,11799,28012,27,7399,0,0,73
1787360577,1.34,4.7,11794,28012,4,7399,0,0,76
1787360579,1.34,3.8,13124,28012,11,7399,0,0,74
1787360581,1.34,3.5,11865,28012,22,7399,0,0,74
1787360583,1.31,3.6,11850,28012,22,7399,0,0,74
1787360585,1.31,3.6,11830,28012,24,7399,0,0,74
1787360587,1.29,3.9,11826,28012,23,7399,0,0,74
1787360589,1.29,3.5,11829,28012,24,7399,0,0,74
1787360592,1.26,3.5,11814,28012,24,7399,0,0,74
1787360594,1.26,3.6,11814,28012,21,7399,0,0,74
1787360596,1.26,3.8,11812,28012,25,7399,0,0,74
1787360598,1.24,3.9,11803,28012,26,7399,0,0,74
1787360600,1.24,3.5,11799,28012,27,7399,0,0,74
1787360602,1.22,3.9,11825,28012,28,7399,0,0,74
1787360604,1.22,3.8,11797,28012,97,7399,0,0,76
1787360607,1.20,4.7,12299,28012,11,7399,0,0,75
1787360609,1.20,3.6,13786,28012,11,7399,0,0,74
1787360611,1.20,3.5,11897,28012,23,7399,0,0,74
1787360613,1.27,3.6,11896,28012,23,7399,0,0,74
1787360615,1.27,3.8,11875,28012,24,7399,0,0,74
1787360617,1.33,3.6,11883,28012,24,7399,0,0,74
1787360619,1.33,3.8,11874,28012,25,7399,0,0,74
1787360621,1.30,3.4,11865,28012,25,7399,0,0,74
1787360624,1.30,3.9,11858,28012,25,7399,0,0,74
1787360626,1.30,3.5,11853,28012,22,7399,0,0,74
1787360628,1.28,3.6,11848,28012,26,7399,0,0,74
1787360630,1.28,3.6,11863,28012,26,7399,0,0,74
1787360632,1.33,4.1,11856,28012,27,7399,0,0,74
1787360634,1.33,3.6,11828,28012,97,7399,0,0,78
1787360636,1.33,4.4,12287,28012,27,7401,0,0,75
1787360639,1.47,4.1,11881,28012,21,7401,0,0,75
1787360641,1.47,3.6,11865,28012,21,7401,0,0,75
1787360643,1.43,3.9,11871,28012,23,7401,0,0,75
1787360645,1.43,3.5,11871,28012,23,7401,0,0,74
1787360647,1.40,3.5,11860,28012,21,7401,0,0,74
1787360649,1.40,3.6,11872,28012,25,7401,0,0,74
1787360651,1.40,3.8,11867,28012,24,7401,0,0,74
1787360653,1.36,3.7,11856,28012,93,7401,0,0,76
1787360656,1.36,4.0,11870,28012,21,7401,0,0,75
1787360658,1.42,3.6,11879,28012,21,7401,0,0,75
1787360660,1.42,3.9,11879,28012,22,7401,0,0,75
1787360662,1.38,4.1,11878,28012,22,7401,0,0,75
1787360664,1.38,4.0,11878,28012,35,7401,0,0,77
1787360666,1.38,3.5,13008,28012,11,7401,0,0,75
1787360668,1.35,3.6,11979,28012,22,7401,0,0,75
1787360671,1.35,3.8,11950,28012,22,7401,0,0,74
1787360673,1.32,3.7,11934,28012,22,7401,0,0,75
1787360675,1.32,3.5,11931,28012,25,7401,0,0,75
1787360677,1.30,3.5,11908,28012,23,7401,0,0,74
1787360679,1.30,3.6,11898,28012,25,7401,0,0,75
1787360681,1.30,4.0,11900,28012,26,7401,0,0,74
1787360683,1.27,3.6,11876,28012,26,7401,0,0,74
1787360685,1.27,3.6,11866,28012,22,7401,0,0,74
1787360688,1.25,3.6,11855,28012,95,7401,0,0,78
1787360690,1.25,4.6,11922,28012,19,7401,0,0,75
1787360692,1.31,3.5,11920,28012,22,7401,0,0,74
1787360694,1.31,3.9,11902,28012,22,7401,0,0,74
1787360696,1.31,3.5,11893,28012,18,7401,0,0,74
1787360698,1.29,3.7,11893,28012,21,7401,0,0,74
1787360700,1.29,3.9,11890,28012,20,7401,0,0,73
1787360703,1.26,3.5,11875,28012,26,7401,0,0,74
1787360705,1.26,3.6,11876,28012,26,7401,0,0,73
1787360707,1.40,4.0,11972,28012,9,7401,0,0,75
1787360709,1.40,4.0,11918,28012,20,7401,0,0,74
1787360711,1.40,3.5,11919,28012,21,7401,0,0,74
1787360713,1.37,3.5,11922,28012,23,7401,0,0,74
1787360715,1.37,3.5,11897,28012,21,7401,0,0,74
1787360718,1.34,3.8,11893,28012,22,7401,0,0,74
1787360720,1.34,3.7,11892,28012,23,7401,0,0,74
1787360722,1.47,4.0,11887,28012,92,7401,0,0,76
1787360724,1.47,3.9,13197,28012,11,7401,0,0,74
1787360726,1.47,3.9,14566,28012,11,7401,0,0,74
1787360728,1.43,3.8,11934,28012,18,7401,0,0,74
1787360730,1.43,3.5,11919,28012,23,7401,0,0,74
1787360732,1.48,3.5,11900,28012,25,7401,0,0,74
1787360735,1.48,3.6,11875,28012,26,7401,0,0,74
1787360737,1.44,3.9,11886,28012,27,7401,0,0,73
1787360739,1.44,3.7,11894,28012,27,7401,0,0,73
1787360741,1.44,3.8,11894,28012,22,7401,0,0,73
1787360743,1.41,3.6,11890,28012,26,7401,0,0,73
1787360745,1.41,3.7,11870,28012,27,7401,0,0,73
1787360747,1.37,3.8,11857,28012,24,7401,0,0,73
1787360750,1.37,3.7,11841,28012,27,7401,0,0,73
1787360752,1.34,3.6,11836,28012,27,7401,0,0,73
1787360754,1.34,3.7,11844,28012,28,7401,0,0,73
1787360756,1.34,4.1,11847,28012,26,7401,0,0,73
1787360758,1.32,3.6,11841,28012,23,7401,0,0,72
1787360760,1.32,3.7,11845,28012,29,7401,0,0,72
1787360762,1.29,3.8,11831,28012,28,7401,0,0,72
1787360765,1.29,3.6,11843,28012,31,7401,0,0,72
1787360767,1.27,3.8,11841,28012,28,7401,0,0,72
1787360769,1.27,3.7,11845,28012,98,7401,0,0,76
1787360771,1.27,4.8,12163,28012,11,7401,0,0,75
1787360773,1.33,3.5,11899,28012,18,7401,0,0,74
1787360775,1.33,4.0,11892,28012,21,7401,0,0,74
1787360777,1.30,3.5,11882,28012,23,7401,0,0,74
1787360779,1.30,3.6,11863,28012,59,7401,0,0,75
1787360782,1.27,4.1,11864,28012,20,7401,0,0,74
1787360784,1.27,3.8,11872,28012,15,7401,0,0,73
